Build.Model,Manufacturer,Model,Comment
Galaxy Nexus,Samsung,Galaxy Nexus I,
SCH-I535,Samsung,Galaxy S III,Verizon Galaxy S III
DROID RAZR,Motorola,Razr,Motorola Droid RAZR
SAMSUNG-SGH-I747,Samsung,Galaxy S III,Samsung Galaxy S III AT&T
SGH-T999,Samsung,Galaxy S III,Samsung Galaxy S III T-Mobile
SPH-L710,Samsung,Galaxy S III,Samsung Galaxy S III Sprint
PC36100,HTC,Evo 4g,HTC EVO 4G LTE
DROID BIONIC,Motorola,Droid Bionic,Motorola Droid Bionic
ADR6400L,HTC,Thunderbolt,HTC Thunderbolt 4g
SGH-T989,Samsung,Galaxy S II,Samsung Galaxy S II  T-Mobile.
SPH-D710,Samsung,Galaxy S II,"Samsung Galaxy S II. Samsung Within, S II Epic 4G Touch"
ADR6300,HTC,Droid Incredible,HTC Droid Incredible
GT-I9300,Samsung,Galaxy S II,Samsung Galaxy S II
DROIDX,Motorola,Droid X,Motorola Droid X
ADR6350,HTC,Droid Incredible 2,Verizon HTC Droid Incredible 2
HTC One X,HTC,One X,HTC One X
DROID RAZR HD,Motorola,Razr,
XT910,Motorola,Razr,
Nexus 4,LG,Nexus 4,
DROID4,Motorola,Droid 4,Motorola Droid 4
Nexus S,Samsung,Nexus S,
HTC VLE_U,HTC,One S,HTC One S
EVO,HTC,Evo 3d,
SAMSUNG-SGH-I727,Samsung,Galaxy S II,Samsung Galaxy II AT&T
SCH-I510,Samsung,Droid Change,Samsung Droid Change
Nexus 7,Asus,Nexus 7,
XT907,Motorola,Razr M,Motorola Droid Razr M XT907
PG86100,HTC,Evo 3d,HTC EVO 3d
HTC Sensation 4G,HTC,Sensation 4g,
Nexus S 4G,Samsung,Nexus S 4g,
SPH-D720,Samsung,Nexus S 4g,Spring Nexus S 4g
HTC Glacier,HTC,Glacier,T-Mobile myTouch 4G
SCH-I500,Samsung,Galaxy S,Samsung Galaxy S
GT-I9100,Samsung,Galaxy S II,Samsung Galaxy S2
LG-P999,LG,G2x,T-Mobile G2x 
ADR6425LVW,HTC,Rezound 4g,HTC - Rezound 4G
SPH-D700,Samsung,Galaxy S II,
SAMSUNG-SGH-I317,Samsung,Galaxy Note II,Samsung Galaxy Note 2
SAMSUNG-SGH-I777,Samsung,Galaxy S II,Samsung Galaxy II AT&T
SGH-T959V,Samsung,Galaxy S 4g,"Galaxy S 4G, Vibrant Plus, Vibrant 4G"
SCH-I405,Samsung,Stratosphere,Samsung Stratosphere
SCH-I415,Samsung,Stratosphere II,Samsung Stratosphere
DROID2 GLOBAL,Motorola,Droid 2,Motorola Droid 2 Global
T-Mobile G2,HTC,G2,HTC T-Mobile G2
DROID Pro,Motorola,Droid Pro,Motorola DROID Pro
SAMSUNG-SGH-I717,Samsung,Galaxy Note,Samsung Galaxy Note
SGH-I747M,Samsung,Galaxy S III,Samsung Galaxy S III
DROID3,Motorola,Droid 3,Motorola DROID3
MB860,Motorola,Atrix 4g,"Motorola Atrix 4G, AT&T"
ADR6410LVW,HTC,Incredible 4g,HTC Droid Incredible 4G 
Nexus One,HTC,Nexus One,HTC Nexus One
SGH-T769,Samsung,Galaxy Blaze 4g,Samsung Galaxy S® Blaze™ 4G
DROID X2,Motorola,Droid X2,Motorola Droid X2
SAMSUNG-SGH-I997,Samsung,Galaxy Note II,Galaxy Note 2
GT-I9100,Samsung,Galaxy S II,
GT-I9001,Samsung,Galaxy S Plus,
GT-I9000,Samsung,Galaxy S,Samsung Galaxy S
GT-I8150,Samsung,Galaxy W,Samsung Galaxy W
D700,Samsung,Epic,Samsung Epic
GT-S5660,Samsung,Galaxy Gio,Samsung Galaxy Gio
GT-5830L,Samsung,Galaxy Ace,Samsung Galaxy Ace
S5360,Samsung,Galaxy Y,Samsung Galaxy Y
GT-S5570,Samsung,Galaxy Mini,Samsung Galaxy Mini
I200,Samsung,Stellar,Samsung Galaxy Stellar
XT894,Motorola ,Droid 4,Motorola Droid 4 LTE
LG-P500,LG,Optimus One,Optimus One P500
GT-N7100,Samsung,Galaxy Note II,
Zio,Kyocera,Zio,Kyocera Zio M6000
Desire HD,HTC,Desire HD,
HTCEVODesign4G,HTC,Evo 4g,"HTC Hero 4G, HTC Kingdom"
